,titre_film,utilisateur_note,genres_liste,duree,id_film,nbre_utilisateur_note,date_sortie,date_ext
7428,A Paper Tiger Burns,,Drama,,tt3623076,,(2018),"August 3, 2018"
7429,Like a Shadow,,Horror,,tt7319698,,,"September 7, 2018"
7430,Campus Da Challenge,,Drama,,tt8785344,,(2018),"August 1, 2018"
7431,Mouthful,,Comedy,,tt7653452,,(2018),"December 31, 2018"
7432,Cruxman,6.8,Action  Comedy  Family,125,tt7705694,10,(2018),"December 31, 2018"
7433,Long Goodbye,3.2,Drama,79,tt7390120,27,(2018),"March 31, 2018"
7434,Legion of Doom,5.3,Comedy  Drama,120,tt3343750,11,(2018),"April 9, 2018"
7435,Balekempa,7.4,Drama,108,tt7838150,24,(2018),"April 9, 2018"
7436,Nagavalli VS Apthamitraru,,Drama,118,tt13735240,,(2018),"April 20, 2018"
7437,Mate,6.9,Drama  Romance,92,tt9159000,21,(2018),"October 31, 2018"
7438,The Dawn of Zombie Apocalypse,,Action  Horror,,tt7446344,,(2018),"February 14, 2018"
7439,The Trees of the East,9.8,Thriller,71,tt16426178,14,(2018),"December 20, 2018"
7440,Clara's Ultimate Christmas,4.1,Family,77,tt6646106,25,(2018),"December 20, 2018"
7441,The Devil's Mirror,,Horror,,tt8841552,,(2018),"December 2, 2018"
7442,Everybody Loves Baby Wendy,4.5,Comedy,87,tt9383680,18,(2018),"December 5, 2018"
7443,Mario and Rabbids Kingdom Battle,,Action  Adventure  Comedy,96,tt22033696,,(2018),"July 13, 2018"
7444,Kuchchikoo Kuchiku,,,133,tt13459576,,(2018),"July 6, 2018"
7445,I'll Go Ahead,,Comedy  Romance,,tt7357246,,(2018),"October 22, 2018"
7446,La capitale du bruit,8.0,Comedy,95,tt5765586,11,(2018),"November 28, 2019"
7447,Survival,9.6,Drama,107,tt21030842,14,(V) (2018),"May 1, 2018"
7448,Steps: Party on the Dancefloor Live from the London SSE Arena Wembley,9.2,Music,,tt8531206,8,(2018),"May 1, 2018"
